QUESTION_ID,FIRST_SUBJECT,SECOND_SUBJECT,THIRD_SUBJECT,VALIDITY
9,História e evolução conceitual da Física,Física Moderna,,True
10,Física básica: Mecânica e Termodinâmica,,,True
11,Física básica: Mecânica e Termodinâmica,,,True
12,Física básica: Mecânica e Termodinâmica,,,True
13,Física básica: Mecânica e Termodinâmica,,,True
14,Física básica: Eletricidade e Magnetismo,,,True
15,Física básica: Eletricidade e Magnetismo,,,False
16,Física básica: Física Ondulatória e Ótica,,,True
17,Física básica: Física Ondulatória e Ótica,,,True
18,Física básica: Física Ondulatória e Ótica,,,True
19,Física básica: Física Ondulatória e Ótica,,,True
20,Física Moderna,,,True
21,Física Moderna,,,False
22,Mecânica Geral e Analítica,,,True
23,,,,False
24,Eletromagnetismo,,,True
25,Eletromagnetismo,,,True
26,Termodinâmica e Mecânica Estatística,,,True
27,Física nuclear,,,True
28,Mecânica Quântica,,,False
29,Mecânica Quântica,,,False
30,Termodinâmica e Mecânica Estatística,,,True
31,Termodinâmica e Mecânica Estatística,,,True
32,Física Moderna,,,True
33,Física da Matéria Condensada,,,True
34,,,,False
35,Física nuclear,,,True
