QUESTION_ID,FIRST_SUBJECT,SECOND_SUBJECT,THIRD_SUBJECT,VALIDITY
9,História e evolução conceitual da Física,Física Moderna,,True
10,Física básica: Mecânica e Termodinâmica,,,True
11,Física básica: Mecânica e Termodinâmica,,,True
12,Física básica: Mecânica e Termodinâmica,,,True
13,Física básica: Mecânica e Termodinâmica,,,False
14,Física básica: Eletricidade e Magnetismo,,,True
15,Física básica: Eletricidade e Magnetismo,,,False
16,Física básica: Física Ondulatória e Ótica,,,False
17,Física básica: Física Ondulatória e Ótica,,,False
18,Física básica: Física Ondulatória e Ótica,,,False
19,Física básica: Física Ondulatória e Ótica,,,True
20,Física Moderna,,,True
21,Física Moderna,,,False
22,Metodologia do ensino da Física,Física básica: Eletricidade e Magnetismo,,True
23,Metodologia do ensino da Física,Física básica: Mecânica e Termodinâmica,,True
24,Metodologia do ensino da Física,Física Moderna,,True
25,"Fundamentos históricos, epistemológicos e sociológicos da Física e o ensino da Física",Física básica: Eletricidade e Magnetismo,,True
26,Física básica: Mecânica,,,False
27,Metodologia do ensino da Física,Física básica: Física Ondulatória e Ótica,,True
28,Metodologia do ensino da Física,Física básica: Mecânica e Termodinâmica,,True
29,"Fundamentos históricos, epistemológicos e sociológicos da Física e o ensino da Física",Física básica: Mecânica e Termodinâmica,,True
30,Metodologia do ensino da Física,Física básica: Física Ondulatória e Ótica,,True
31,Teorias pedagógicas e Didática,Planejamento e avaliação educacional,Planejamento e avaliação do ensino e da aprendizagem,True
32,"Diferença, Diversidade e Educação inclusiva",Libras,,True
33,"Diferença, Diversidade e Educação inclusiva",,,True
34,Psicologia da Educação,,,True
35,Teorias pedagógicas e Didática,Planejamento e avaliação do ensino e da aprendizagem,Conteúdos e metodologias específicas do ensino de áreas diversas,True
