QUESTION_ID,FIRST_SUBJECT,SECOND_SUBJECT,THIRD_SUBJECT,VALIDITY
9,Estrutura molecular e de sólidos iônicos e metálicos,,,True
10,"Compostos orgânicos: reações e mecanismos, macromoléculas naturais e sintéticas",,,True
11,Compostos inorgânicos de elementos representativos e de coordenação,,,True
12,Elementos químicos e estrutura atômica,,,True
13,Métodos de análise em Química: caracterização e quantificação,,,True
14,Eletroquímica,,,True
15,Equilíbrio químico,,,False
16,Bioquímica,,,True
17,Cinética química,,,True
18,Gases e termodinâmica,,,True
19,Química verde e química ambiental,,,True
20,Compostos orgânicos,,,True
21,Técnicas básicas de laboratório,,,False
22,Bioquímica,,,True
23,Compostos inorgânicos de elementos representativos e de coordenação,,,True
24,Métodos de análise em Química,,,False
25,Compostos orgânicos,,,True
26,Química quântica,,,True
27,Técnicas analíticas instrumentais,,,True
28,Espectroscopia UV-Vis de compostos de coordenação,,,True
29,Compostos orgânicos,,,True
30,Teoria dos orbitais moleculares em moléculas poliatômicas,,,False
31,Sistemas de gestão da qualidade e de gestão ambiental,,,False
32,Compostos orgânicos,,,True
33,Química verde e química ambiental,,,False
34,Técnicas analíticas instrumentais,,,True
35,Eletroquímica,,,True
