QUESTION_ID,FIRST_SUBJECT,SECOND_SUBJECT,THIRD_SUBJECT,VALIDITY
9,Estrutura molecular e de sólidos iônicos e metálicos,,,True
10,"Compostos orgânicos: reações e mecanismos, macromoléculas naturais e sintéticas",,,False
11,Compostos inorgânicos de elementos representativos e de coordenação,,,True
12,Elementos químicos e estrutura atômica,,,True
13,Métodos de análise em Química: caracterização e quantificação,,,False
14,Eletroquímica,,,True
15,Equilíbrio químico,,,True
16,Bioquímica,,,True
17,Cinética química,,,True
18,Gases e termodinâmica,,,True
19,Química verde e química ambiental,,,True
20,Compostos orgânicos,,,True
21,Técnicas básicas de laboratório,,,False
22,Bioquímica,,,True
23,Compostos inorgânicos de elementos representativos e de coordenação,,,True
24,Métodos de análise em Química,,,False
25,Compostos orgânicos,,,True
26,Identificação de barreiras epistemológicas em materiais didáticos escritos,,,False
27,Parametrização de métodos de avaliação,,,True
28,Recursos didáticos,,,True
29,"Projetos e propostas curriculares, políticas públicas e suas implicações para o ensino de Química",,,True
30,História da Química no contexto do desenvolvimento científico e tecnológico,,,True
31,Teorias pedagógicas e Didática,Planejamento e avaliação educacional,Planejamento e avaliação do ensino e da aprendizagem,True
32,"Diferença, Diversidade e Educação inclusiva",Libras,,True
33,"Diferença, Diversidade e Educação inclusiva",,,True
34,Psicologia da Educação,,,True
35,Teorias pedagógicas e Didática,Planejamento e avaliação do ensino e da aprendizagem,Conteúdos e metodologias específicas do ensino de áreas diversas,True
